ID;CERVEZA;NOTA DE CATA;SABOR;PUNTOS;FECHA
1;Mahou Cinco Estrellas;Con sed entra como agua.;Bueno;8;2018-04-15
2;San Miguel Fresca;Meado.;Malo;1;
3;Desperados Mojito;Menta cansina.;Malo;1;
4;Desperados Original;Sucedáneo.;Regular;4;
5;Corona Extra;Para mujeres.;Regular;4;
6;Asahi Super Dry;De arroz...mierda.;Malo;1;
7;Mahou Barrica Original;No me entusiasma.;Regular;4;
8;Mahou Maestra;Te puede dejar KO.;Bueno;8;
9;Voll-Damm;No engaña con las maltas: dos reales.;Bueno;8;
10;Judas;Temida por su pegada.;Bueno;8;
11;Blue Moon Belgian White;Naranja.;Bueno;7;
12;Grimbergen Blonde;Cereal contundente. Rica. Completa;Bueno;8;2022-08-01
13;Grimbergen Double Ambreé;Decepcionante, sin persistencia.;Regular;3;2022-03-01
14;Paulaner Weissbier;Valor seguro.;Bueno;7;
15;Franziskaner Premium Weissbier;La típica alemana.;Bueno;7;2022-08-01
16;Stella Artois;Una cerveza equilibrada. Justa medida.;Bueno;8;2018-09-24
17;Heineken;Prefiero la Stella.;Aceptable;6;
18;Budweiser;Super básica.;Aceptable;5;
19;Madrí;Rubia del montón. Pasable.;Aceptable;5;2022-07-01
20;BrewDog Indie;Muy rara ¿Timo?;Malo;1;
21;Cruzcampo Gran Reserva;Mejor de lo que esperaba.;Bueno;7;
22;Desperados Sangre;Sangría.;Regular;4;
23;Pilsner Urquell;Fama e historia. Nada del otro mundo.;Aceptable;5;2021-08-01
24;Mahou Barrica Bourbon;Empalaga bastante.;Regular;4;
25;Inedit Damm;Agradable y espumosa.;Bueno;7;
26;A. K. Damm;Muy suave. Entra fácil.;Bueno;7;
27;Sezoens Blond;Espumosa pero sin mucho sabor ni ánima.;Regular;3;
28;Leffe Triple;Espuma, cuerpo, persistencia en boca…ingrediente secreto: azúcar.;Regular;3;2023-04-01
29;Krombacher Pils;Suave y refrescante. Ligera.;Bueno;7;
30;Moritz Epidor;Rica. 7,2% amables.;Bueno;7;
31;San Miguel Manila;¿Oxidada? Parece que atiza.;Aceptable;6;2019-08-17
32;El Águila Sin Filtrar;0 espuma pero no está mal.;Aceptable;6;
33;Delirium Tremens;Amargor peculiar. ;Bueno;7;
34;Brugse Zot Dubbel;Chocolate.;Bueno;7;
35;La Chouffe Blonde;Parecida a la Delirium. Afrutada y ácida.;Bueno;7;2019-09-07
36;Birra Moretti Recetta Originale;Insípida.;Malo;1;2019-09-23
37;San Miguel Selecta;Espuma ok pero no se nota el 6,2% ni los 3 lúpulos. Flojo sabor;Malo;2;2019-09-26
38;Malquerida;Curiosa.;Bueno;7;
39;Quilmes Clásica;Gaseosa, poco gusto pero se puede beber.;Aceptable;5;
40;Innis & Gunn Blood Red Skin;Fuerte, barrica, ron...afrodisiaca .;Bueno;7;2019-10-14
41;Innis & Gunn The Original;Barrica de calidad. Bourbon vainilla.;Bueno;8;2019-10-16
42;Innis & Gunn Gunpowder IPA;Cítrica diferente.;Bueno;7;2019-10-26
43;Hop House 13;Buen regusto, me apetece otra a los 2s .;Bueno;8;
44;Miller Genuine Draft;Agua muy fria.;Malo;1;
45;Cubanisto;Marketing. Mierda. Incluso Desperados le da 1000 vueltas.;Malo;0;2019-11-23
46;Sol;Suave, espuma botella.;Regular;4;2019-11-30
47;DAB Export;Cruda y dura a pesar del 5%.;Regular;4;2019-12-23
48;Mahou Barrica 12 Meses;Fuerte y rica.;Bueno;7;2019-12-24
49;Guinness Original Extra Stout;Recuerda a la de barril cuando estás lleno.;Bueno;7;2019-12-27
50;La Trappe Dubbel;Roja y rica.;Bueno;7;2020-01-07
51;Lagunitas IPA;Cítrica alegre.;Bueno;7;2020-01-10
52;Complot IPA;Lúpulo muy presente. Mejor IPA.;Bueno;8;2021-04-01
53;Hoegaarden Wit;De las más sutiles y delicadas que he probado. Tiene su punto.;Bueno;7;2022-09-01
54;Sierra Nevada Pale Ale;Cítrica rara.;Regular;4;2020-02-09
55;Sierra Nevada Torpedo Extra IPA;Presencia en boca, sabor duradero.;Bueno;7;2022-03-01
56;Toro;Suave, caramelo, sabor a fino, color cobre oscuro.;Bueno;7;2020-03-01
57;Staropramen Premium;Ligera, refrescante, suave, bien.;Bueno;7;2020-03-12
58;Super Bock Original;Rubia normal. Gas y amargor adecuado. Decente.;Aceptable;6;2020-03-13
59;Guinness Draught;La mítica de la bola en lata o boya en cristal. Café.;Excelente;9;2020-03-18
60;Mahou Cinco Estrellas Session IPA;Aroma cítrico típico, refrescante...no me dice mucho.;Regular;4;2020-03-15
61;Sierra Nevada Torpedo Tropical IPA;Cítrica. Muy fria. Bien.;Bueno;7;2020-03-21
62;Daura;Rubia normal sin gluten. Ni fu ni fa.;Regular;3;2020-03-23
63;Pinkus Demeter Müller’s Lagerbier;Punto ácido especial.;Bueno;8;2020-03-29
64;Kirin Ichiban;Rubia amarga sin espuma.;Regular;4;2020-04-04
65;Tiger;Agua coloreada. ;Malo;1;2020-04-07
66;Vogelsberger Naturtrüb Bio Radler;Limonada natural.;Aceptable;5;
67;Benediktinerabtei Plankstetten Dinkel;Sin filtrar. Cuerpo, gas, espuma correctos. Entra bien, no empalaga ni es insípida. OK.;Aceptable;6;2020-04-11
68;Affligem Dubbel;Consistente caramelo, espumosa. Lo que se espera de una tostada belga.;Bueno;7;2020-04-14
69;Weltenburger Kloster Helle Weiße;Trigo...bien pero muy suave. Sin regusto. Nombre alt: Weltenburger Kloster Hefe-Weisbier Hell.;Regular;5;2020-04-21
70;Hofbräu München Weisse;Trigo sin filtrar, bien y pega más que la Kloster. Más duradera.;Bueno;7;2020-04-24
71;La Trappe Isid'or;Bien.;Aceptable;6;
72;La Trappe Quadrupel;10% sueño.;Bueno;7;
73;Waterloo Triple Blonde;Activa las pápilas, eso es buena señal. Gran persistencia. Porosa.;Excelente;9;2020-05-11
74;Timmermans Kriek Lambicus;Chicle, gominola. Fácil de beber. Mejor que Desperados y otros sucedáneos.;Bueno;7;2020-05-14
75;Bourgogne des Flandres;Aroma de vino (barrica). Explota en boca con una segunda espuma que estimula la lengua.;Excelente;10;2020-05-16
76;Burro de Sancho Rubia;Rubia de manual.;Aceptable;6;2020-05-18
77;La Cibeles Rubia;Suave y refrescante, poco gas. Ok, parece de trigo.;Aceptable;5;2020-05-21
78;Madrid Lager;Rubia normalita. Se bebe rápido.;Aceptable;5;2020-05-30
79;1906 Red Vintage;No me convence. Un poco de caramelo...a ver si por lo menos pega. Eso parece.;Regular;4;2020-06-01
80;Jamonera;Rica, con cuerpo. Entra bien.;Bueno;7;2020-06-15
81;Desperados Lima;Refresco.;Regular;3;2020-06-20
